tract,Neighborhood,City,State,Teenage_Birth_Rate_women_only_rP_gF_pall,Income
24510272007,Fallstaff, Baltimore, MD,0.0855,High
24510270101,Arcadia, Baltimore, MD,0.0823,High
24510270702,Harford - Echodale - Perring Parkway, Baltimore, MD,0.074,High
24510130803,Medfield, Baltimore, MD,0.07,High
24510010300,Canton, Baltimore, MD,0.0672,High
24510271200,Homeland, Baltimore, MD,0.0503,High
24510271400,Evergreen, Baltimore, MD,0.0367,High
24510271101,Radnor - Winston, Baltimore, MD,0.0328,High
24510010200,Patterson Park, Baltimore, MD,0.0327,High
24510271501,Mount Washington, Baltimore, MD,0.0298,High
24510272005,Cross Country, Baltimore, MD,0.0287,High
24510260501,Joseph Lee, Baltimore, MD,0.0266,High
24510272004,Cheswolde, Baltimore, MD,0.0258,High
24510120100,Tuscany - Canterbury, Baltimore, MD,0.022,High
24510260404,Baltimore Highlands, Baltimore, MD,0.0207,High
24510271300,Roland Park, Baltimore, MD,0.0121,High
24510250600,Brooklyn, Baltimore, MD,,High
24510100300,Penn - Fallsway, Baltimore, MD,,High
24510040200,Downtown, Baltimore, MD,,High
24510080700,Broadway East, Baltimore, MD,0.6087,Middle
24510080400,Broadway East, Baltimore, MD,0.6027,Middle
24510190100,Franklin Square, Baltimore, MD,0.5892,Middle
24510160600,Mosher, Baltimore, MD,0.5759,Middle
24510250204,Cherry Hill, Baltimore, MD,0.5587,Middle
24510080800,Broadway East, Baltimore, MD,0.5439,Middle
24510271802,Langston Hughes, Baltimore, MD,0.5401,Middle
24510200100,Lexington, Baltimore, MD,0.5375,Middle
24510250600,Brooklyn, Baltimore, MD,0.5301,Middle
24510080500,Darley Park, Baltimore, MD,0.5249,Middle
24510060300,Butchers Hill, Baltimore, MD,0.5243,Middle
24510090900,Oliver, Baltimore, MD,0.5228,Middle
24510150500,Burleith-Leighton, Baltimore, MD,0.5196,Middle
24510280500,Pleasant View Gardens, Baltimore, MD,0.5175,Middle
24510130300,Penn North, Baltimore, MD,0.5113,Middle
24510090700,Coldstream - Homestead - Montebello, Baltimore, MD,0.511,Middle
24510150600,NW Community Action, Baltimore, MD,0.5098,Middle
24510080102,Belair - Edison, Baltimore, MD,0.506,Middle
24510120500,Greenmount West, Baltimore, MD,0.5041,Middle
24510140300,Druid Heights, Baltimore, MD,0.4984,Middle
24510170300,Upton, Baltimore, MD,0.4959,Middle
24510120300,Harwood, Baltimore, MD,0.4917,Middle
24510120400,Barclay, Baltimore, MD,0.4848,Middle
24510200702,Saint Joseph's, Baltimore, MD,0.4786,Middle
24510100100,Johnson Square, Baltimore, MD,0.4785,Middle
24510260402,Frankford, Baltimore, MD,0.4772,Middle
24510170200,McCulloh Homes, Baltimore, MD,0.477,Middle
24510080301,Berea, Baltimore, MD,0.473,Middle
24510150800,Garwyn Oaks, Baltimore, MD,0.4721,Middle
24510250207,Cherry Hill, Baltimore, MD,0.4717,Middle
24510070400,Gay Street, Baltimore, MD,0.4676,Middle
24510130100,Reservoir Hill, Baltimore, MD,0.466,Middle
24510200701,Allendale, Baltimore, MD,0.4633,Middle
24510080200,Broadway East, Baltimore, MD,0.4615,Middle
24510260403,Cedonia, Baltimore, MD,0.4586,Middle
24510150200,Sandtown-Winchester, Baltimore, MD,0.4571,Middle
24510160802,Edmondson, Baltimore, MD,0.4564,Middle
24510150400,Mondawmin, Baltimore, MD,0.4553,Middle
24510080302,Berea, Baltimore, MD,0.4553,Middle
24510210200,Pigtown, Baltimore, MD,0.4492,Middle
